,latitude,longitude,number,address,name,groupe
117,-27.451793,153.039562,61,Wickham St / Murri Way,61 - WICKHAM ST / MURRI WAY,0
27,-27.454482,153.046802,65,Chermside St / Commercial Rd,65 - CHERMSIDE ST / COMMERCIAL RD,0
88,-27.448074,153.045762,76,WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,76 - WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,0
29,-27.453717,153.034042,56,Constance St / St Pauls Tce,56 - CONSTANCE ST / ST PAULS TCE,0
30,-27.458641,153.03208,50,Gipps St / Wickham St,50 - GIPPS ST / WICKHAM ST,0
61,-27.463678,153.049485,74,Merthyr Rd / James St,74 - MERTHYR RD / JAMES ST,0
33,-27.454394,153.049519,68,Vernon Tce / Ethel St,68 - VERNON TCE / ETHEL ST,0
119,-27.45296,153.048107,66,Commercial Rd / Skyring Tce,66 - COMMERCIAL RD / SKYRING TCE,0
35,-27.457512,153.033841,52,Brunswick St Mall / Wickham St,52 - BRUNSWICK ST MALL / WICKHAM ST,0
36,-27.46123,153.031077,47,Turbot St / Barry Pde,47 - TURBOT ST / BARRY PDE,0
26,-27.461041,153.037902,78,Malt St / Brunswick St,78 - MALT ST / BRUNSWICK ST,0
118,-27.45663,153.032779,51,Brunswick St / Alfred St,51 - BRUNSWICK ST / ALFRED ST,0
39,-27.456276,153.039196,59,James St / McLachlan St,59 - JAMES ST / MCLACHLAN ST,0
91,-27.44979,153.044925,64,Skyring Tce / Cunningham St,64 - SKYRING TCE / CUNNINGHAM ST,0
58,-27.452468,153.040565,63,Ann St / Murri Way,63 - ANN ST / MURRI WAY,0
108,-27.471481,153.051966,84,New Farm Ferry Terminal / New Farm Park,84 - NEW FARM FERRY TERMINAL / NEW FARM PARK,0
106,-27.468407,153.048273,83,Sydney St / Brunswick St,83 - SYDNEY ST / BRUNSWICK ST,0
46,-27.473304,153.048757,85,Oxlade Dr / Turner Ave,85 - OXLADE DR / TURNER AVE,0
55,-27.459833,153.033445,49,Ann St / Gipps St,49 - ANN STREET / GIPPS STREET,0
94,-27.460914,153.04987,71,Hastings St / Macquarie St,71 - HASTINGS ST / MACQUARIE ST,0
49,-27.467802,153.053645,72,Lamington St / Powerhouse,72 - LAMINGTON ST / POWERHOUSE,0
60,-27.467498,153.0467,82,Brunswick St / Merthyr Rd,82 - BRUNSWICK ST / MERTHYR RD,0
102,-27.465733,153.034329,89,Holman St / Main St,89 - HOLMAN ST / MAIN ST,0
25,-27.464681,153.042561,80,Barker St / Brunswick St,80 - BARKER ST / BRUNSWICK ST,0
69,-27.469931,153.043525,87,Merthyr Rd / Reginald St,87 - MERTHYR RD / REGINALD ST,0
80,-27.453195,153.0401,62,Ann St / Chester St,62 - ANN ST / CHESTER ST,0
2,-27.474531,153.042728,88,Sydney St Ferry Terminal / Park,88 - SYDNEY ST FERRY TERMINAL / PARK,0
3,-27.461881,153.046986,75,Browne St / James St,75 - BROWNE ST / JAMES ST,0
143,-27.463431,153.041031,79,Balfour St / Brunswick St,79 - BALFOUR ST / BRUNSWICK ST,0
84,-27.453127,153.037559,60,Wickham St / Brookes St,60 - WICKHAM STREET / BROOKES STREET,0
71,-27.455907,153.050013,69,Vernon Tce / Florence St,69 - VERNON TCE / FLORENCE ST,0
10,-27.465226,153.050864,73,Lamington St / Refinery Pde,73 - LAMINGTON ST / REFINERY PDE,0
65,-27.46048,153.032768,48,Ann St / Gotha St,48 - ANN ST / GOTHA ST,0
